Date, Open, High, Low, Close, TotalVolume, UnAdjustedClose
1999-02-05,84.58936036,84.58936036,82.94848244,83.51647864,   75161,124.06250000
1999-02-08,84.21069622,84.21069622,83.03263003,83.68477381,   85284,124.31250000
1999-02-09,83.72684761,83.81099519,81.80197159,81.81249004,   89857,121.53125000
1999-02-10,82.21219107,82.80122417,81.67575021,82.33841245,   69367,122.31250000
1999-02-11,82.84329796,84.88387691,82.46463382,84.23173312,   91818,125.12500000
1999-02-12,84.02136416,84.48417588,82.54878141,83.22196209,  106766,123.62500000
1999-02-16,83.97929036,84.56832346,82.71707658,82.71707658,   69155,122.87500000
1999-02-17,82.92744555,84.38950984,82.29633865,82.63292900,   78581,122.75000000
1999-02-18,82.92744555,83.72684761,82.27530176,83.28507278,   90489,123.71875000
1999-02-19,83.47440485,84.65247105,83.05366692,83.64270002,   53122,124.25000000
1999-02-22,83.76892140,85.97779552,83.66373692,85.87261104,  106958,127.56250000
1999-02-23,85.89364794,86.50371793,85.22046725,85.83053725,   77707,127.50000000
1999-02-24,86.06194311,86.73512379,84.14758554,84.31588071,   72710,125.25000000
1999-02-25,83.83203209,84.33691760,82.59085520,83.51647864,  116330,124.06250000
1999-02-26,83.97929036,84.04240105,82.67500279,83.17988830,   96213,123.56250000
1999-03-01,83.24299899,83.68477381,82.38048624,83.41129416,   76072,123.90625000
1999-03-02,83.81099519,84.35795450,82.33841245,82.67500279,   96515,122.81250000
1999-03-03,82.86433486,83.17988830,81.98078521,83.11677761,   78814,123.46875000
1999-03-04,83.51647864,84.47365743,82.98003779,84.16862243,   82564,125.03125000
1999-03-05,85.83053725,86.25127517,85.19943035,85.86209259,  107031,127.54687500
1999-03-08,86.35645966,86.70356845,85.66224208,86.41957034,   48022,128.37500000
1999-03-09,86.25127517,87.47141516,85.99883242,86.20920138,   78934,128.06250000
1999-03-10,86.48268103,87.00860344,86.01986931,86.96652965,   39500,129.18750000
1999-03-11,87.30311999,88.31289102,86.75616069,87.93422688,   65837,130.62500000
1999-03-12,88.18666964,88.20770654,86.98756655,87.09275103,   52865,129.37500000
1999-03-15,87.47141516,88.35496481,87.17689861,88.33392792,   53944,131.21875000
1999-03-16,88.27081723,88.62844447,87.82904240,87.99733757,   45475,130.71875000
1999-03-17,87.97630068,88.14459585,87.26104620,87.61867344,   45241,130.15625000
1999-03-18,87.36623068,89.11229308,87.34519379,89.02814550,   35063,132.25000000
1999-03-19,89.28626166,89.49714088,87.51487622,87.51487622,   55267,129.68750000
1999-03-22,87.76793128,88.12642595,87.33562888,87.68357959,   46038,129.93750000
1999-03-23,87.26182115,87.40943661,84.82616616,85.15302895,   97138,126.18750000
1999-03-24,85.59587532,85.81729850,84.77344636,85.63805116,   62809,126.90625000
1999-03-25,86.41830427,87.38834868,86.20742505,87.38834868,   66396,129.50000000
1999-03-26,86.79788687,87.13529362,86.18633713,86.75571102,   61597,128.56250000
1999-03-29,87.15638154,88.69579985,87.15638154,88.50600855,   58639,131.15625000
1999-03-30,87.68357959,88.54818439,87.43052453,88.04207426,   54014,130.46875000
1999-03-31,88.50600855,88.81178342,86.58700765,86.62918349,   74136,128.37500000
1999-04-01,87.51487622,87.51487622,86.46048012,87.28290907,   76836,129.34375000
1999-04-05,88.35839309,89.47605296,87.89445881,89.34952543,   57911,132.40625000
1999-04-06,89.20190997,89.73965198,88.50600855,89.13864621,   53813,132.09375000
1999-04-07,89.53931673,90.00325101,88.65362400,89.85563555,   62486,133.15625000
1999-04-08,89.87672348,91.05764711,89.26517374,90.99438334,   59091,134.84375000
1999-04-09,90.72024036,91.43722970,90.15086646,91.01547126,   43658,134.87500000
1999-04-12,90.06651477,92.04877944,89.89781140,91.98551567,   82132,136.31250000
1999-04-13,91.94333983,92.09095528,90.76241620,91.39505386,  100714,135.43750000
1999-04-14,91.81681230,91.81681230,89.53931673,89.85563555,  115517,133.15625000
1999-04-15,90.04542685,90.12977854,88.40056894,89.51822880,  111500,132.65625000
1999-04-16,89.68693218,89.68693218,88.52709647,88.75906361,   64762,131.53125000
1999-04-19,89.53931673,90.78350412,86.62918349,87.38834868,  124872,129.50000000
1999-04-20,87.59922790,88.52709647,87.05094193,88.48492063,   90496,131.12500000
1999-04-21,88.44274478,91.52158139,87.99989842,91.01547126,   57722,134.87500000
1999-04-22,91.18417464,92.02769152,90.68860847,91.88007607,   68974,136.15625000
1999-04-23,91.69028477,92.28074658,91.09982295,91.64810892,   45931,135.81250000
1999-04-26,92.11204321,92.32292243,91.41614178,92.17530697,   36065,136.59375000
1999-04-27,92.53380165,92.78685671,91.66919685,92.61815333,   51472,137.25000000
1999-04-28,92.06986736,92.61815333,91.09982295,91.35287802,   55443,135.37500000
1999-04-29,91.47940555,91.81681230,90.29848192,90.65697659,   98243,134.34375000
1999-04-30,91.16308672,91.52158139,88.73797569,89.91889932,  109919,133.25000000
1999-05-03,90.04542685,91.66919685,89.81345971,91.56375724,  107097,135.68750000
